name,korean_name,initial_count,current_count,increase,increase_percent,recommendation_count,comment_count,post_date,post_title,last_accessed,last_updated,url
yonsei_faculty_firing,연세대 교수 해고,99,100,1,1.01,0,0,2025-06-28 10:18:02,,2025-08-05,2025-08-06 04:46:13,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156848&page=1
sejong_faculty_firing,세종대 교수 해고,102,103,1,0.98,0,0,2025-06-28 10:07:14,,2025-08-05,2025-08-06 04:46:15,https://gall.dcinside.com/board/view/?id=sejong&no=260439&page=1
kyunghee_faculty_firing,경희대 교수 해고,114,115,1,0.88,0,0,2025-06-28 10:08:44,,2025-08-05,2025-08-06 04:46:17,https://gall.dcinside.com/board/view/?id=khu&no=444074&page=1
duksung_faculty_firing,덕성여자대 교수 해고,74,75,1,1.35,0,0,2025-06-28 10:10:56,,2025-08-05,2025-08-06 04:50:37,https://gall.dcinside.com/board/view/?id=duksung&no=22877&page=1
feminism_faculty_firing,페미니즘 교수 해고,82,83,1,1.22,0,0,2025-06-28 10:11:55,,2025-08-05,2025-08-06 04:50:39,https://gall.dcinside.com/mgallery/board/view/?id=feminism1&no=710&page=1
hufs_faculty_firing,한국외국어대 교수 해고,99,100,1,1.01,0,0,2025-06-28 10:23:17,,2025-08-05,2025-08-06 04:50:40,https://gall.dcinside.com/board/view/?id=hufs&no=248772&page=1
konkuk_faculty_firing,건국대 교수 해고,84,85,1,1.19,0,0,2025-06-28 10:24:36,,2025-08-05,2025-08-06 04:50:43,https://gall.dcinside.com/board/view/?id=konkuk&no=205817&page=1
hongik_faculty_firing,홍익대 교수 해고,102,103,1,0.98,0,0,2025-06-28 10:25:48,,2025-08-05,2025-08-06 04:50:46,https://gall.dcinside.com/board/view/?id=hongik&no=195889&page=1
hanyang_faculty_firing,한양대 교수 해고,114,115,1,0.88,0,0,2025-06-28 10:27:19,,2025-08-05,2025-08-06 04:55:06,https://gall.dcinside.com/board/view/?id=hanyang&no=202421&page=1
sungyunkwan_faculty_firing,성균관대 교수 해고,129,130,1,0.78,0,0,2025-06-28 10:29:03,,2025-08-05,2025-08-06 04:55:08,https://gall.dcinside.com/board/view/?id=skku&no=309232&page=1
